sampleNumber,distToGoal,minDistToGoal,worstCost,temp,maxTemp
465,0.56437,1.06437,0.086938,0.1,0.1
466,0.56437,1.06437,0.086938,0.1,0.1
467,0.56437,1.06437,0.086938,0.1,0.1
468,0.56437,1.06437,0.086938,0.1,0.1
469,0.56437,1.06437,0.086938,0.1,0.1
470,0.56437,1.06437,0.086938,0.1,0.1
471,0.56437,1.06437,0.086938,0.1,0.1
472,0.56437,1.06437,0.086938,0.1,0.1
473,0.56437,1.06437,0.086938,0.1,0.1
474,0.56437,1.06437,0.086938,0.1,0.1
475,0.56437,1.06437,0.086938,0.1,0.1
476,0.56437,1.06437,0.086938,0.1,0.1
477,0.56437,1.06437,0.086938,0.1,0.1
478,0.56437,1.06437,0.086938,0.1,0.1
479,3.06125,1.06437,0.086938,0.1,0.1
480,3.06125,1.06437,0.086938,0.1,0.1
481,3.06125,1.06437,0.086938,0.1,0.1
482,3.06125,1.06437,0.086938,0.1,0.1
483,4.02185,1.06437,0.086938,0.1,0.1
484,4.02185,1.06437,0.086938,0.1,0.1
485,4.02185,1.06437,0.086938,0.1,0.1
486,4.02185,1.06437,0.086938,0.1,0.1
487,4.02185,1.06437,0.086938,0.1,0.1
488,4.02185,1.06437,0.086938,0.1,0.1
489,4.02185,1.06437,0.086938,0.1,0.1
490,4.02185,1.06437,0.086938,0.1,0.1
491,4.02185,1.06437,0.086938,0.1,0.1
492,8.04752,1.06437,0.086938,0.1,0.1
493,8.04752,1.06437,0.086938,0.1,0.1
494,8.03994,1.06437,0.086938,0.1,0.1
495,8.03994,0.56437,0.086938,0.1,0.1
496,8.03994,0.56437,0.086938,0.1,0.1
497,8.03994,0.56437,0.086938,0.1,0.1
498,8.03994,0.0643697,0.086938,0.1,0.1
